Fecha;Temperatura_Abrigo_150cm;Humedad_Media;Presion_Media;Radiacion_Global
2023-11-04 00:00:00.0;15.0;73;1014.396;23.60046
2023-11-05 00:00:00.0;18.23959;70;1014.468;23.39423
2023-11-06 00:00:00.0;20.46111;64;1014.247;25.33554
2023-11-07 00:00:00.0;23.95972;73;1006.888;20.16282
2023-11-08 00:00:00.0;22.02361;55;1012.196;23.05278
2023-11-09 00:00:00.0;19.63542;45;1015.24;25.32265
2023-11-10 00:00:00.0;17.56181;82;1006.658;3.957
2023-11-11 00:00:00.0;20.8375;84;1000.791;24.22146
2023-11-12 00:00:00.0;19.75001;68;1008.373;24.03876
2023-11-13 00:00:00.0;17.17986;59;1011.769;16.66073
2023-11-14 00:00:00.0;18.19027;62;1009.943;25.74408
2023-11-15 00:00:00.0;22.27987;77;1003.374;21.46104
2023-11-16 00:00:00.0;19.49583;62;1004.367;25.68636
2023-11-17 00:00:00.0;19.26736;73;998.7861;18.00156
2023-11-18 00:00:00.0;18.04583;58;1005.717;24.32658
2023-11-19 00:00:00.0;19.13819;51;1012.163;24.84474
2023-11-20 00:00:00.0;22.30903;55;1007.688;24.17802
2023-11-21 00:00:00.0;21.8382;69;1006.332;11.7627
2023-11-22 00:00:00.0;20.5868;59;1011.422;26.64492
2023-11-23 00:00:00.0;22.35625;54;1017.031;25.03722
2023-11-24 00:00:00.0;20.95278;56;1022.969;25.91713
2023-11-25 00:00:00.0;22.33264;58;1017.244;26.19936
2023-11-26 00:00:00.0;23.80209;62;1012.737;26.19036
2023-11-27 00:00:00.0;25.45486;58;1012.774;26.53716
2023-11-28 00:00:00.0;26.4;70;1009.338;23.42478
2023-11-29 00:00:00.0;23.49097;82;1009.094;7.60722
2023-11-30 00:00:00.0;23.73333;63;1009.255;24.79139
2023-12-01 00:00:00.0;23.64376;90;1003.6;5.738939
2023-12-02 00:00:00.0;23.20764;70;1007.717;25.90518
2023-12-03 00:00:00.0;17.22292;69;1017.503;4.07862
2023-12-04 00:00:00.0;16.5875;65;1021.637;19.25658
2023-12-05 00:00:00.0;19.33681;77;1015.162;15.43332
2023-12-06 00:00:00.0;20.56806;100;1008.169;4.96788
2023-12-07 00:00:00.0;20.21041;85;1013.37;16.46675
2023-12-08 00:00:00.0;19.81042;80;1018.649;20.60922
2023-12-09 00:00:00.0;20.93681;67;1015.915;20.30748
2023-12-10 00:00:00.0;22.65278;64;1014.243;25.24122
2023-12-11 00:00:00.0;24.47292;63;1010.858;27.30924
2023-12-12 00:00:00.0;26.96874;63;1008.716;25.68366
2023-12-13 00:00:00.0;27.18194;75;1005.567;18.03618
2023-12-14 00:00:00.0;25.30347;81;1005.815;20.11692
2023-12-15 00:00:00.0;26.76875;78;1006.746;16.95516
2023-12-16 00:00:00.0;27.84861;72;1005.173;14.79072
2023-12-17 00:00:00.0;22.73264;96;1006.804;3.19986
2023-12-18 00:00:00.0;18.88264;91;1013.868;2.2401
2023-12-19 00:00:00.0;16.57431;72;1018.961;21.95802
2023-12-20 00:00:00.0;19.9375;72;1015.526;23.25936
2023-12-21 00:00:00.0;23.26528;74;1012.943;23.03485
2023-12-22 00:00:00.0;23.42708;70;1011.316;24.7356
2023-12-23 00:00:00.0;25.93751;68;1009.962;23.95638
2023-12-24 00:00:00.0;23.88611;71;1009.918;11.49498
2023-12-25 00:00:00.0;22.04444;70;1012.7;25.26102
2023-12-26 00:00:00.0;20.45139;58;1016.903;27.96258
2023-12-27 00:00:00.0;22.21319;60;1010.803;27.51486
2023-12-28 00:00:00.0;25.775;70;1002.872;16.7862
2023-12-29 00:00:00.0;23.69306;59;1011.368;26.79342
2023-12-30 00:00:00.0;19.92777;55;1017.378;27.47917
2023-12-31 00:00:00.0;21.92639;55;1014.372;24.60528
2024-01-01 00:00:00.0;24.74097;59;1011.743;22.9905
2024-01-02 00:00:00.0;24.63819;70;1011.822;24.3306
2024-01-03 00:00:00.0;24.88194;70;1014.008;19.944
2024-01-04 00:00:00.0;25.36667;70;1014.201;21.61699
2024-01-05 00:00:00.0;26.47709;67;1011.284;23.2533
2024-01-06 00:00:00.0;26.35973;75;1007.455;10.2867
2024-01-07 00:00:00.0;24.31667;80;1006.626;16.09944
2024-01-08 00:00:00.0;24.08333;72;1007.748;27.26346
2024-01-09 00:00:00.0;26.18542;71;1009.056;22.41809
2024-01-10 00:00:00.0;25.91874;76;1009.09;23.33922
2024-01-11 00:00:00.0;22.95556;74;1014.595;23.56638
2024-01-12 00:00:00.0;21.22847;67;1015.333;26.94642
2024-01-13 00:00:00.0;24.94028;66;1010.297;24.0429
2024-01-14 00:00:00.0;25.30972;68;1008.205;23.39022
2024-01-15 00:00:00.0;24.71736;62;1008.933;26.94
2024-01-16 00:00:00.0;21.925;90;1010.168;4.843319
2024-01-17 00:00:00.0;23.33265;74;1014.011;26.0199
2024-01-18 00:00:00.0;25.68542;78;1009.906;18.68556
2024-01-19 00:00:00.0;24.74861;64;1011.906;26.96754
2024-01-20 00:00:00.0;22.88958;60;1014.796;27.37176
2024-01-21 00:00:00.0;22.58819;66;1018.216;26.54556
2024-01-22 00:00:00.0;24.0375;60;1020.737;26.72484
2024-01-23 00:00:00.0;24.15902;62;1018.525;26.95998
2024-01-24 00:00:00.0;24.87916;60;1016.183;26.9883
2024-01-25 00:00:00.0;24.77152;64;1016.396;25.6872
2024-01-26 00:00:00.0;25.46458;61;1017.762;26.69988
